column                           , dtype  , unique_count, non_null_count, null_count, total_count, cardinality_pct, null_pct, cardinality_profile, sample_values
transaction_type                 , object ,            2,         119984,          0,      119984,            0.0 ,     0.0 , low_cardinality    , """spending"", ""income"", ""spending"", ""income"", ""income"""
spending_type                    , object ,            2,         119984,          0,      119984,            0.0 ,     0.0 , low_cardinality    , """day-to-day"", ""regular"", ""regular"", ""day-to-day"", ""day-to-day"""
record_creation_timestamp        , object ,            2,         119984,          0,      119984,            0.0 ,     0.0 , low_cardinality    , """2025-08-06T14:29:30.000"", ""2025-08-06T14:29:30.000"", ""2025-08-20T13:39:20.000"", ""2025-08-20T13:39:20.000"", ""2025-08-06T14:29:30.000"""
transaction_status               , object ,            1,         119984,          0,      119984,            0.0 ,     0.0 , low_cardinality    , """booked"", ""booked"", ""booked"", ""booked"", ""booked"""
proprietary_bank_transaction_code, object ,           13,         119984,          0,      119984,            0.01,     0.0 , low_cardinality    , """POS"", ""DPC"", ""D/D"", ""BAC"", ""CHP"""
mimo_account_id                  , object ,           22,         119984,          0,      119984,            0.02,     0.0 , low_cardinality    , """693733aeb89df94e1aeabec9b4ed50ad"", ""39e3a030ed0207eb6febd62a74933e61"", ""31a8a2bca65b9c7032a92a06b9b015df"", ""31a8a2bca65b9c7032a92a06b9b015df"", ""d0570d1a2a77b8071de64b3652281237"""
prophet_account_id               , object ,           22,         119984,          0,      119984,            0.02,     0.0 , low_cardinality    , """560000_10000013"", ""560000_10000011"", ""560000_10000000"", ""560000_10000000"", ""560000_10000019"""
agrmnt_id                        , int64  ,           22,         119984,          0,      119984,            0.02,     0.0 , low_cardinality    , """5560000012"", ""5560000010"", ""5560000000"", ""5560000000"", ""5560000019"""
category_id                      , object ,           45,         119984,          0,      119984,            0.04,     0.0 , low_cardinality    , """d6a42dad-0e00-336d-08dd-a5450768a1cc"", ""d49120d2-8be9-17ad-c494-521779c207f3"", ""1a7ff0af-448b-67c1-76cb-2d88d853a115"", ""1f9cf516-1f13-0cd2-4c8a-2b69d4902f16"", ""28961ccd-727e-c880-3429-0ba63570e43d"""
mcc                              , int64  ,          101,         119984,          0,      119984,            0.08,     0.0 , low_cardinality    , """5948"", ""20033"", ""5261"", ""20001"", ""9399"""
recurring_payment_type           , object ,            1,            920,     119064,      119984,            0.11,    99.23, sparse             , """SUBSCRIPTION"", ""SUBSCRIPTION"", ""SUBSCRIPTION"", ""SUBSCRIPTION"", ""SUBSCRIPTION"""
merchant_brand_code              , float64,          188,         100200,      19784,      119984,            0.19,    16.49, low_cardinality    , """200581.0"", ""211172.0"", ""278.0"", ""85362.0"", ""307.0"""
display_narrative                , object ,          321,         119984,          0,      119984,            0.27,     0.0 , low_cardinality    , """Lego"", ""B T GB"", ""Dobbies"", ""DMC11 HBOS RETAIL TRX"", ""Edinburgh Council"""
clean_narrative                  , object ,          379,         119984,          0,      119984,            0.32,     0.0 , low_cardinality    , """LEGO STORE GLASGOWGLASGOW GB"", ""B T GB*"", ""DOBBIES LISBURN GB"", ""DMC11 HBOS RETAIL TRX*"", ""EDINBURGH.GOV.UK EDINBURGH GB"""
mimo_match_id                    , object ,          384,         119984,          0,      119984,            0.32,     0.0 , low_cardinality    , """35365fb4bc88ead627e9ab7b4f67ba4c"", ""ee7ba0c6467efa7cd2b48989f6483231"", ""5fa7df344e2a4b295058d11e307cffed"", ""2f695cc627a4fd2e8f93c661110605de"", ""6aacdcd3c3ad31fd07a551d8a034ab1e"""
transaction_booking_timestamp    , object ,          732,         119984,          0,      119984,            0.61,     0.0 , low_cardinality    , """2024-06-24"", ""2024-04-25"", ""2023-11-30"", ""2024-11-09"", ""2023-08-13"""
recurring_payment_id             , object ,           29,            920,     119064,      119984,            3.15,    99.23, sparse             , """292_292"", ""294_294"", ""5_5"", ""292_292"", ""121_121"""
amount                           , float64,        15180,         119984,          0,      119984,           12.65,     0.0 , high_cardinality   , """-50.63"", ""-54.5"", ""-112.12"", ""-82.78"", ""-83.62"""
total_kg_co2e                    , float64,        45085,         104047,      15937,      119984,           43.33,    13.28, high_cardinality   , """16.947"", ""9.508"", ""12.977"", ""11.068"", ""8.514"""
mimo_transaction_id              , object ,       119984,         119984,          0,      119984,          100.0 ,     0.0 , unique             , """c9ff7659bef87a88b26ec83ec8a08584"", ""4f799614b54f1fb26e6f8fa1cf51da09"", ""2da0983f3b5000fae1efecdea96e3c25"", ""971bb04bc87659bc8ee03df98a7c23ae"", ""8f5776ebd92993c38f49d45b369598a4"""
prophet_transaction_id           , int64  ,       119984,         119984,          0,      119984,          100.0 ,     0.0 , unique             , """89710219102733"", ""79106734579222"", ""39781224025152"", ""84192934898132"", ""24632488024083"""
external_transaction_id          , int64  ,       119984,         119984,          0,      119984,          100.0 ,     0.0 , unique             , """10008594066050345"", ""10019032812627930"", ""10019738339627134"", ""10032934926444883"", ""10041430905879780"""
