query_id,query,classification,processable_entities,unprocessable_entities,justification
1,Did I receive any cashbacks or refunds from groceries or Amazon in 2023 and 2024?,processable,"refunds/cashbacks (via positive amount values), groceries merchants (via display_narrative ILIKE for grocery merchant names or category_id for grocery categories), Amazon merchant (via display_narrative ILIKE), date range (via transaction_booking_timestamp)","","Can identify refunds/cashbacks as transactions with positive amount values (income) where display_narrative matches grocery merchants (Tesco, Asda, Morrisons, etc.) or Amazon (ILIKE '%Amazon%' OR '%AMZN%'). Filter by 2023-2024 date range via transaction_booking_timestamp. Refunds from merchants appear as positive amounts with the same merchant name in display_narrative. Cannot distinguish between cashback vs refund semantically, but both are captured as positive-amount transactions from the specified merchants."
2,What was the day in 2024 when my combined spending on groceries and Amazon was the highest?,processable,"date (transaction_booking_timestamp), groceries category (via category_id for Expense > Groceries), Amazon merchant (display_narrative ILIKE), amount aggregation","","Can filter by year 2024, identify groceries transactions via category_id (Groceries categories), match Amazon via display_narrative ILIKE '%Amazon%' or '%AMZN%', group by date, sum amounts, and order by total descending. Note: ILIKE on display_narrative may miss some Amazon variations (e.g., 'AMZ*ROCKY RIDERS') but should capture most common patterns."
3,Which restaurants did I spend $150 on dining out last month?,processable,"restaurants (via Expense > Eating out > Restaurants category or display_narrative), amount ($150), date filter (last month via transaction_booking_timestamp)","","Can filter by Eating out category (category_id for 'Expense > Eating out'), filter by last month date range, then either find single transactions = $150 or group by display_narrative and filter HAVING SUM(amount) = $150. Query is ambiguous about whether $150 is per transaction or per restaurant total, but both interpretations are processable."
4,What was my total spending on groceries and dining out in the last year?,processable,"groceries category (via category_id), dining out category (via category_id for Eating out), date filter (last year), amount aggregation","","Can filter by category_id for Groceries (e.g., b44d0c18-9710-7241-b4e7-3bd5006c353c for Supermarkets, 45aef1ce-525c-e4d3-0b40-08c141e2c32e for Other) and Eating out categories, filter by last year date range (transaction_booking_timestamp), and SUM amounts. Straightforward aggregation query."
5,What is my total spending in the last year?,processable,"spending (via transaction_type), date filter (last year), amount aggregation","","Can filter by transaction_type = 'spending' (which corresponds to negative amounts), filter by last year date range via transaction_booking_timestamp, and SUM amounts. Simple aggregation query with clear semantics."
6,my payments to Amzn past 3 months?,processable,"Amazon merchant (via display_narrative ILIKE), date filter (past 3 months), payment amount","","Can filter by display_narrative ILIKE '%Amazon%' OR '%AMZN%' to capture variations (Amazon, Amazon Prime, AMZNM, AMZNMKTPLACE, etc.), filter by past 3 months via transaction_booking_timestamp, and return transactions with amounts. ILIKE pattern should capture most Amazon transactions but may miss some variations like 'AMZ*ROCKY RIDERS'."
7,Where did I spend cash in the Entertainment category last month?,unprocessable,"Entertainment category (via category_id for Fun & leisure), last month (via transaction_booking_timestamp), merchant names (via display_narrative)","cash payment method identification","We have proprietary_bank_transaction_code which includes ATM for cash withdrawals, but cash spending at merchants cannot be reliably identified. The transaction codes (POS, DPC, etc.) indicate payment channel/method, but cash payments at merchants are not explicitly distinguished from card payments. Cannot determine which Entertainment transactions were paid with cash vs card."
8,Was RetailMart the store where I spent the most last month?,processable,"merchant name comparison (via display_narrative), spending aggregation by merchant, date filter (last month)","","Can group by display_narrative, filter by last month, SUM amounts per merchant, order by total descending, and check if top merchant matches 'RetailMart'. However, ILIKE '%RetailMart%' may have false negatives if merchant name in data differs (e.g., 'Retail Mart', 'RetailMart Ltd'). Assuming exact or close match exists in display_narrative values."
9,How many times did I eat out last month and at which place did I eat out the most?,processable,"eating out category (via category_id for Expense > Eating out), date filter (last month), transaction count, merchant names (via display_narrative)","","Can filter by Eating out category_id, filter by last month, COUNT transactions for frequency, and GROUP BY display_narrative to identify most frequent merchant. Straightforward aggregation with category and date filters."
10,How much of my Dining and Groceries spending last month were online payments?,indeterminate,"Dining category (Eating out), Groceries category, date filter (last month), DPC transaction code (online banking payment)","reliable identification of all online purchases vs in-store purchases","proprietary_bank_transaction_code includes DPC (Direct Banking by PC - online banking payment) which may indicate online payments, but this doesn't reliably capture all online merchant purchases. POS (Point of Sale) could be used for both in-store and online card payments. Some merchants in display_narrative include 'ONLINE' or '.com' suffixes (e.g., 'ASDA GROCERIES ONLINE', 'Boots.com'), but this is inconsistent and would require unreliable ILIKE pattern matching. Cannot definitively distinguish online vs in-store purchases for most transactions."
11,How many times did I spend more than 100 dollars at Starbucks in 2022 2023 and 2024?,processable,"Starbucks merchant (via display_narrative ILIKE), amount threshold filter (>$100), date range (2022-2024 via transaction_booking_timestamp), transaction count","","Can filter by display_narrative ILIKE '%Starbucks%' to capture variations (Starbucks, STARBUCKS APP LONDON GB), filter by years 2022-2024, filter where ABS(amount) > 100 (using absolute value since spending is negative), and COUNT transactions. Straightforward frequency count with amount and date filters."
12,When was my most recent visit to Starbucks?,processable,"Starbucks merchant (via display_narrative ILIKE), most recent date (via transaction_booking_timestamp)","","Can filter by display_narrative ILIKE '%Starbucks%', order by transaction_booking_timestamp DESC, and return the most recent transaction date. Simple date lookup query."
13,What is my total spending at Starbucks in the last 3 months?,processable,"Starbucks merchant (via display_narrative ILIKE), date filter (last 3 months via transaction_booking_timestamp), spending filter (transaction_type), amount aggregation","","Can filter by display_narrative ILIKE '%Starbucks%', filter by last 3 months, filter by transaction_type = 'spending', and SUM amounts. Straightforward aggregation query."
14,Which stores do I usually shop at for groceries?,processable,"groceries category (via category_id for Expense > Groceries), merchant names (via display_narrative), frequency or spending volume","","Can filter by Groceries category_id (e.g., b44d0c18-9710-7241-b4e7-3bd5006c353c for Supermarkets), group by display_narrative, and order by either COUNT(*) for frequency or SUM(ABS(amount)) for spending volume. 'Usually' can be interpreted as most frequent stores or highest spending stores - both are processable."
